ARREST_KEY,Latitude,Longitude
172808396,40.73388303,-74.00542831
172801163,40.61903772,-74.0687291
172815324,40.68874337,-73.94498708
172820249,40.70629037,-73.95035033
172808405,40.70744736,-73.79214177
172824974,40.65050123,-73.89797849
172808402,40.70744736,-73.79214177
172829487,40.66867724,-73.86831594
172801166,40.64502275,-74.07721685
172825013,40.74251107,-73.87036414
172798418,40.79481676,-73.94440825
172801100,40.81698058,-73.92115226
172813002,40.67141166,-73.88151172
172815332,40.68962245,-73.96014913
172826722,40.68947288,-73.92886457
172824941,40.83072233,-73.82712606
172833044,40.80399896,-73.96031906
172836967,40.80399896,-73.96031906
172833049,40.80399896,-73.96031906
172824959,40.70227951,-73.91596461
172831540,40.80399896,-73.96031906
172833045,40.80399896,-73.96031906
172804377,40.68703414,-73.98202677
172804407,40.70744736,-73.79214177
172810558,40.6285156,-73.9413837
172820280,40.70744736,-73.79214177
172789098,40.72598064,-73.99080141
172831078,40.67281467,-73.87167483
172759448,40.6020707,-74.00269151
172776034,40.82338729,-73.87017045
172770207,40.85211209,-73.88996995
172760959,40.82867546,-73.94398972
172759454,40.83294176,-73.93543259
172760960,40.79605784,-73.96705231
172759446,40.64886713,-73.9508219
172773033,40.67141166,-73.88151172
172763158,40.67141166,-73.88151172
172788461,40.68874337,-73.94498708
172767804,40.72629309,-73.73476085
172770257,40.72629309,-73.73476085
172760952,40.57390907,-74.00049459
172760953,40.67141166,-73.88151172
172760947,40.57390907,-74.00049459
172784859,40.88733282,-73.84725001
172765591,40.85211209,-73.88996995
172755943,40.83778162,-73.91945797
172760941,40.69692048,-73.91067733
172781279,40.74268134,-73.86332671
172759458,40.79060456,-73.94643052
172763177,40.68239829,-73.84007937
172765602,40.73357547,-73.99195501
172784860,40.8535874,-73.90059136
172745977,40.71595712,-73.99735368
172727832,40.63068216,-73.97355397
172738731,40.6606945,-73.92985401
172730159,40.63068216,-73.97355397
172727807,40.63068216,-73.97355397
172742800,40.71800673,-73.98683434
172727862,40.7475432,-73.9883082
172738722,40.80966255,-73.85539
172730180,40.76204389,-73.82732958
172744567,40.64187903,-74.09661345
172709909,40.85495237,-73.90157979
172742791,40.72140755,-73.94238789
172745968,40.83448704,-73.85636957
172742788,40.72140755,-73.94238789
172740145,40.70687676,-73.7907982
172740119,40.80778441,-73.85263067
172740121,40.82338729,-73.87017045
172727849,40.69775659,-73.9496787
172727921,40.70451983,-73.8934704
172744223,40.8535874,-73.90059136
172741389,40.72140755,-73.94238789
172713438,40.69431413,-73.80176426
172727895,40.77931023,-73.98326924
172738751,40.68004873,-73.77590919
172709927,40.83751038,-73.94336069
172727927,40.58623141,-73.81601112
172727872,40.75346408,-73.99439974
172727842,40.63068216,-73.97355397
172727785,40.66670409,-73.9616191
172732700,40.83778162,-73.91945797
172744019,40.72696507,-73.95311663
172742784,40.82095487,-73.85801741
172742783,40.88733282,-73.84725001
172745966,40.83448704,-73.85636957
172704061,40.67109684,-73.9062094
172688109,40.69110803,-73.92769449
172706176,40.80089152,-73.96781203
172688227,40.69110803,-73.92769449
172685084,40.8075676,-73.91922722
172705201,40.76539748,-73.98570226
172708556,40.75626621,-73.99050125
172697600,40.85580274,-73.84390995
172694390,40.81039849,-73.92489531
172707094,40.80089152,-73.96781203
172704055,40.57669397,-73.98424514
172705192,40.80012003,-73.96703585
172688231,40.69093876,-73.92915509
172704074,40.74942955,-73.86703749
172705194,40.80012003,-73.96703585
172708554,40.75626621,-73.99050125
172694393,40.81039849,-73.92489531
172688541,40.88979959,-73.8386654
172692579,40.88733282,-73.84725001
172704034,40.81039849,-73.92489531
172683970,40.81039849,-73.92489531
172699019,40.75626621,-73.99050125
172693415,40.74296235,-73.95527425
172707093,40.80089152,-73.96781203
172705198,40.80012003,-73.96703585
172693400,40.81039849,-73.92489531
172706184,40.63776877,-74.07648063
172683987,40.68955163,-73.97114353
172681787,40.82547196,-73.89294074
