ARREST_KEY,Latitude,Longitude
173067173,40.75724053,-73.98979364
173060856,40.67998074,-73.77623391
173010824,40.79282342,-73.9377359
173007036,40.71114707,-73.94126415
173008667,40.66863762,-73.95725984
172986593,40.86447077,-73.9189448
173024187,40.81047604,-73.95188015
173010812,40.57758742,-73.97633607
172990185,40.83298674,-73.89873219
173000661,40.67141166,-73.88151172
172986592,40.68082746,-73.87487184
172984508,40.7545908,-73.89466084
172998560,40.65657121,-74.00362717
172984930,40.86607576,-73.89437579
173007048,40.7894633,-73.947634
173024177,40.64170916,-73.95889497
173014645,40.8146016,-73.88589546
173026246,40.86647791,-73.92839323
173026241,40.85579558,-73.90557301
173026520,40.85279619,-73.89662717
173012633,40.71110867,-73.73942029
173024157,40.86314178,-73.86312615
172984935,40.704732,-73.94018778
172990193,40.68082746,-73.87487184
173026065,40.64170916,-73.95889497
173002618,40.71114707,-73.94126415
173007042,40.66863762,-73.95725984
173008666,40.66863762,-73.95725984
172995163,40.65357178,-73.93448536
173024155,40.83599971,-73.91481997
172993868,40.7372031,-73.9832726
173020311,40.66983597,-73.88677396
173018807,40.6439941,-74.01148556
173026238,40.8075676,-73.91922722
172990900,40.64434326,-74.0003762
172984184,40.83072233,-73.82712606
172984405,40.64083846,-73.95042065
172980814,40.83096705,-73.89311257
172977300,40.74607342,-73.9789252
172979077,40.63923551,-74.07901894
172979048,40.81850401,-73.93950386
172980853,40.67998074,-73.77623391
172982583,40.82581778,-73.94897844
172984404,40.67322088,-73.99287796
172990190,40.69085647,-73.8695775
172979072,40.73574615,-73.86634672
172972549,40.58623141,-73.81601112
172982577,40.62621863,-73.92766032
172984186,40.83079891,-73.8269488
172984383,40.84195829,-73.8438051
172957360,40.86535498,-73.90848793
172990195,40.69085647,-73.8695775
172951630,40.80957232,-73.92922028
172949194,40.67968848,-73.97825034
172950782,40.75656759,-73.87593153
172950776,40.87216165,-73.86614124
172982576,40.65851314,-73.91469339
172984212,40.75002316,-73.86531473
172990196,40.69085647,-73.8695775
172984940,40.79414077,-73.94280529
172984485,40.88883364,-73.81671797
172977306,40.72278734,-73.9813461
172945862,40.67895789,-73.90621277
172949199,40.59737304,-73.76107359
172948016,40.65553848,-73.88409879
172945126,40.75656759,-73.87593153
172949182,40.60426709,-73.75285237
